loss,params,iteration,estimators,train_time
0.9266441621744917,"{'learning_rate': 0.1273783772417192, 'max_depth': 19, 'max_features': 7, 'min_samples_split': 6, 'subsample': 0.9909616766503161}",32,20,0.10198776500328677
0.9991000250383044,"{'learning_rate': 0.0010939351702733396, 'max_depth': 14, 'max_features': 8, 'min_samples_split': 6, 'subsample': 0.9153005829600697}",33,100,0.46095070699811913
0.9557282125831408,"{'learning_rate': 0.06420560904365549, 'max_depth': 17, 'max_features': 5, 'min_samples_split': 5, 'subsample': 0.9843704879623096}",34,16,0.11136912200163351
0.9377472651249062,"{'learning_rate': 0.10441785123303148, 'max_depth': 11, 'max_features': 3, 'min_samples_split': 5, 'subsample': 0.998689235199044}",35,18,0.09014346500043757
0.9839273905368755,"{'learning_rate': 0.01842023530998705, 'max_depth': 9, 'max_features': 6, 'min_samples_split': 6, 'subsample': 0.9931518181312029}",36,33,0.15301600599923404
0.9535985858581532,"{'learning_rate': 0.1969328979375042, 'max_depth': 12, 'max_features': 7, 'min_samples_split': 4, 'subsample': 0.9783881106487252}",37,7,0.05959483799961163
0.9639889273853279,"{'learning_rate': 0.03882342958830758, 'max_depth': 5, 'max_features': 5, 'min_samples_split': 3, 'subsample': 0.9589182981571736}",38,63,0.14940158500394318
0.9485971302832781,"{'learning_rate': 0.1413403978710368, 'max_depth': 16, 'max_features': 1, 'min_samples_split': 6, 'subsample': 0.9963362070575317}",39,7,0.06177063599898247
0.9861225521814053,"{'learning_rate': 0.007504666574294109, 'max_depth': 18, 'max_features': 2, 'min_samples_split': 5, 'subsample': 0.9941613077736432}",40,67,0.30023600599815836
0.9810011246157878,"{'learning_rate': 0.019410956840156347, 'max_depth': 14, 'max_features': 9, 'min_samples_split': 4, 'subsample': 0.9211144623445028}",41,57,0.2178136340007768
0.9363034467485368,"{'learning_rate': 0.09635629147183021, 'max_depth': 16, 'max_features': 8, 'min_samples_split': 6, 'subsample': 0.9892535068866206}",42,13,0.1019579359999625
0.9651687153767738,"{'learning_rate': 0.07699014036536009, 'max_depth': 9, 'max_features': 4, 'min_samples_split': 5, 'subsample': 0.9978667693593566}",43,19,0.07458393100387184
0.9793678896456546,"{'learning_rate': 0.06309448438884281, 'max_depth': 4, 'max_features': 3, 'min_samples_split': 4, 'subsample': 0.9797806069696433}",44,29,0.0880996809937642
0.9703371598940638,"{'learning_rate': 0.023812468484419966, 'max_depth': 12, 'max_features': 2, 'min_samples_split': 3, 'subsample': 0.9989093628965706}",45,39,0.14206200299668126
0.9876704714379259,"{'learning_rate': 0.014126852299455738, 'max_depth': 14, 'max_features': 7, 'min_samples_split': 5, 'subsample': 0.8071105057628543}",46,100,0.20942034700419754
0.9921074471303801,"{'learning_rate': 0.0046305346025733015, 'max_depth': 21, 'max_features': 6, 'min_samples_split': 6, 'subsample': 0.9631394399502774}",47,100,0.40047706000041217
0.9147805327085433,"{'learning_rate': 0.16452633060278288, 'max_depth': 19, 'max_features': 4, 'min_samples_split': 4, 'subsample': 0.9391181157379672}",48,20,0.08468690599693218
0.9916501325783921,"{'learning_rate': 0.03925696648293077, 'max_depth': 19, 'max_features': 4, 'min_samples_split': 3, 'subsample': 0.9425299366035934}",49,15,0.08234393600287149
0.9481404226698609,"{'learning_rate': 0.11629197495657752, 'max_depth': 8, 'max_features': 5, 'min_samples_split': 4, 'subsample': 0.859058162497041}",50,10,0.07850442400376778
0.9983887995566734,"{'learning_rate': 0.012122711354869826, 'max_depth': 2, 'max_features': 3, 'min_samples_split': 2, 'subsample': 0.7318329282854097}",51,100,0.13796319800167112
0.9996176486587169,"{'learning_rate': 0.007073284547131097, 'max_depth': 1, 'max_features': 4, 'min_samples_split': 3, 'subsample': 0.9336650054171508}",52,100,0.22597645399946487
0.9589998947816215,"{'learning_rate': 0.06629948560350703, 'max_depth': 6, 'max_features': 6, 'min_samples_split': 4, 'subsample': 0.9721665864198775}",53,35,0.1376194240001496
0.9580726527713308,"{'learning_rate': 0.08523873388216972, 'max_depth': 20, 'max_features': 8, 'min_samples_split': 4, 'subsample': 0.8884133633916855}",54,15,0.09313358800136484
0.9977269138249544,"{'learning_rate': 0.002219678422155841, 'max_depth': 9, 'max_features': 4, 'min_samples_split': 3, 'subsample': 0.5632941479697053}",55,100,0.4105203020008048
0.9483794629807457,"{'learning_rate': 0.14818171115423728, 'max_depth': 7, 'max_features': 3, 'min_samples_split': 4, 'subsample': 0.9860664293175158}",56,17,0.0848307289998047
0.9325932631893978,"{'learning_rate': 0.18052416202965446, 'max_depth': 13, 'max_features': 5, 'min_samples_split': 4, 'subsample': 0.8647218827997321}",57,10,0.06518264300393639
0.985254456438962,"{'learning_rate': 0.041486820564090844, 'max_depth': 3, 'max_features': 9, 'min_samples_split': 2, 'subsample': 0.7880733735377681}",58,22,0.11846114299987676
0.9990726774289435,"{'learning_rate': 0.0014828753424111893, 'max_depth': 6, 'max_features': 7, 'min_samples_split': 3, 'subsample': 0.9646519066120094}",59,100,0.42516193600022234
0.9893613074228003,"{'learning_rate': 0.023089759327743507, 'max_depth': 17, 'max_features': 3, 'min_samples_split': 4, 'subsample': 0.6609183069884301}",60,56,0.11676647800049977
0.9936728602750697,"{'learning_rate': 0.0033643022194271995, 'max_depth': 18, 'max_features': 5, 'min_samples_split': 5, 'subsample': 0.9310417204280977}",61,100,0.4137551870007883
0.9642025389097585,"{'learning_rate': 0.05656101656797543, 'max_depth': 11, 'max_features': 7, 'min_samples_split': 5, 'subsample': 0.8905994032807749}",62,45,0.11327897999581182
0.9510470519565215,"{'learning_rate': 0.09178554100889699, 'max_depth': 8, 'max_features': 4, 'min_samples_split': 4, 'subsample': 0.9743148849539225}",63,14,0.0845567590004066
0.9755738026327997,"{'learning_rate': 0.03277379100500869, 'max_depth': 4, 'max_features': 6, 'min_samples_split': 5, 'subsample': 0.9902763216159443}",64,47,0.1638241120017483
0.9396307331897242,"{'learning_rate': 0.11358149714686831, 'max_depth': 20, 'max_features': 2, 'min_samples_split': 3, 'subsample': 0.9878860951917963}",65,14,0.07599293900420889
0.925933959070206,"{'learning_rate': 0.17004344174447905, 'max_depth': 16, 'max_features': 1, 'min_samples_split': 5, 'subsample': 0.9948053699953456}",66,6,0.06224234399996931
0.9470040928265757,"{'learning_rate': 0.13098316672904559, 'max_depth': 15, 'max_features': 1, 'min_samples_split': 5, 'subsample': 0.992075295157676}",67,8,0.06791624699690146
0.9461040167844541,"{'learning_rate': 0.19843222949904338, 'max_depth': 15, 'max_features': 7, 'min_samples_split': 6, 'subsample': 0.9982604767586679}",68,9,0.06770086500182515
0.9068247980441974,"{'learning_rate': 0.15891013872513432, 'max_depth': 13, 'max_features': 2, 'min_samples_split': 5, 'subsample': 0.997314090253457}",69,38,0.08949828500044532
0.9343021418286596,"{'learning_rate': 0.07342131078346638, 'max_depth': 10, 'max_features': 2, 'min_samples_split': 6, 'subsample': 0.9962328342585582}",70,25,0.10254750300373416
0.9488542543243031,"{'learning_rate': 0.16242738634088416, 'max_depth': 12, 'max_features': 2, 'min_samples_split': 5, 'subsample': 0.9535051848332736}",71,6,0.06580017000669613
0.9506199067931522,"{'learning_rate': 0.11587575210239459, 'max_depth': 9, 'max_features': 3, 'min_samples_split': 6, 'subsample': 0.9989962594558028}",72,10,0.0780460009991657
0.941206612305152,"{'learning_rate': 0.044923964448305286, 'max_depth': 14, 'max_features': 5, 'min_samples_split': 5, 'subsample': 0.9983352141184304}",73,30,0.18858570700103883
0.9246015063094553,"{'learning_rate': 0.1061776767133084, 'max_depth': 13, 'max_features': 6, 'min_samples_split': 5, 'subsample': 0.9974408641937397}",74,31,0.11226850900129648
0.9621739021989278,"{'learning_rate': 0.05653501302577758, 'max_depth': 11, 'max_features': 4, 'min_samples_split': 4, 'subsample': 0.9792511775465648}",75,20,0.12282362300175009
0.9435489164727431,"{'learning_rate': 0.14113424001334587, 'max_depth': 18, 'max_features': 2, 'min_samples_split': 6, 'subsample': 0.994264790788616}",76,23,0.08666303599602543
0.9444403241269728,"{'learning_rate': 0.08364906978173985, 'max_depth': 10, 'max_features': 1, 'min_samples_split': 5, 'subsample': 0.9969971563720541}",77,27,0.09408291800355073
0.9527072632629666,"{'learning_rate': 0.03566297003659725, 'max_depth': 19, 'max_features': 4, 'min_samples_split': 4, 'subsample': 0.9986901140306139}",78,52,0.1787771960007376
0.9079534033676475,"{'learning_rate': 0.1819647131234168, 'max_depth': 7, 'max_features': 3, 'min_samples_split': 6, 'subsample': 0.9081969993636216}",79,16,0.07656112300173845
0.9849382843883213,"{'learning_rate': 0.011878896762936355, 'max_depth': 6, 'max_features': 3, 'min_samples_split': 6, 'subsample': 0.9121531344487315}",80,100,0.22702480499719968
0.9695813638140524,"{'learning_rate': 0.0682488330892186, 'max_depth': 5, 'max_features': 1, 'min_samples_split': 6, 'subsample': 0.8098316135562941}",81,56,0.12229175199900055
0.9711727035231088,"{'learning_rate': 0.016158998894654702, 'max_depth': 8, 'max_features': 3, 'min_samples_split': 6, 'subsample': 0.8380001377757673}",82,74,0.23381286500080023
0.9985542367645068,"{'learning_rate': 0.0045519974627387496, 'max_depth': 4, 'max_features': 2, 'min_samples_split': 2, 'subsample': 0.755372582507607}",83,83,0.226828430997557
0.9682002321264738,"{'learning_rate': 0.0584268293853807, 'max_depth': 7, 'max_features': 3, 'min_samples_split': 6, 'subsample': 0.8758981416173395}",84,23,0.09890969799744198
0.997231343149669,"{'learning_rate': 0.0274245383714894, 'max_depth': 2, 'max_features': 2, 'min_samples_split': 6, 'subsample': 0.9039300668592893}",85,52,0.1292565600015223
0.9999998563696785,"{'learning_rate': 0.0010793490845455332, 'max_depth': 1, 'max_features': 2, 'min_samples_split': 3, 'subsample': 0.9372414000060642}",86,10,0.05118705199856777
0.9543959572534267,"{'learning_rate': 0.047218403843454326, 'max_depth': 21, 'max_features': 3, 'min_samples_split': 4, 'subsample': 0.9688581081921005}",87,49,0.13319148199661868
0.9317690404954584,"{'learning_rate': 0.09306552911984935, 'max_depth': 12, 'max_features': 4, 'min_samples_split': 5, 'subsample': 0.9571405042152353}",88,36,0.1028924120037118
0.9605073391578182,"{'learning_rate': 0.13174450692829254, 'max_depth': 20, 'max_features': 3, 'min_samples_split': 5, 'subsample': 0.6751320697176983}",89,37,0.08623431000160053
